 ✔ Container stash Running                                                                                                     0.0s
Attaching to stash
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] not running inside virtualenv; bootstrapping local venv 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] creating local venv at: /root/.stash/plugins/stash_renamer/.venv_runtime 
stash  | 2026-04-23T19:03:12.759911402-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000184","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":111,"elapsed":2604.309891,"status":200} service=stash
stash  | 2026-04-23T19:03:12.764233572-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000186","requestMethod":"GET","requestPath":"/plugins/stash_renamer","requestURL":"http://192.168.42.164:9999/plugins/stash_renamer"} httpResponse={"bytes":939,"elapsed":0.147969,"status":200} service=stash
stash  | 2026-04-23T19:03:12.789104432-03:00 WRN Response: 0 Unknown httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54144","requestID":"438a9a6f1e38/hcstIKcZuT-000151","requestMethod":"GET","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":0,"elapsed":28166.498807,"status":0} service=stash
stash  | 2026-04-23T19:03:12.829593689-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000187","requestMethod":"GET","requestPath":"/manifest.json","requestURL":"http://192.168.42.164:9999/manifest.json"} httpResponse={"bytes":381,"elapsed":0.056195,"status":200} service=stash
stash  | 2026-04-23T19:03:13.131624549-03:00 INF Response: 304 Redirect httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000189","requestMethod":"GET","requestPath":"/css","requestURL":"http://192.168.42.164:9999/css"} httpResponse={"bytes":0,"elapsed":0.051817,"status":304} service=stash
stash  | 2026-04-23T19:03:13.155263831-03:00 INF Response: 304 Redirect httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000190","requestMethod":"GET","requestPath":"/javascript","requestURL":"http://192.168.42.164:9999/javascript"} httpResponse={"bytes":0,"elapsed":0.030828,"status":304} service=stash
stash  | 2026-04-23T19:03:13.322842473-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000191","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":4549,"elapsed":8.887351,"status":200} service=stash
stash  | 2026-04-23T19:03:13.331306075-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54148","requestID":"438a9a6f1e38/hcstIKcZuT-000192","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":301,"elapsed":17.213963,"status":200} service=stash
